宜居,[동사] 살기 좋다,KCRA(yoyo****),2018-06-14,https://zh.dict.naver.com/#/userEntry/zhko/ea7c17e0d0e1a6a04f1c11dcd3c7cb71
简单粗暴,쉽고 직접적으로 일을 한다,LI GONGYI...(bigh****),2017-12-07,https://zh.dict.naver.com/#/userEntry/zhko/75211a3992dc921a83ff9e1772f2de42
庆生会,생일 축하 파티,ggoltoung(ggol****),2018-06-14,https://zh.dict.naver.com/#/userEntry/zhko/ad8a822095a214ef0e1951ed53363d4e
종강파티,停课派对,麦子们,2018-06-13,https://zh.dict.naver.com/#/userEntry/kozh/2b7ca34097ed86bc910479537d62a46e
止于唇齿,"입밖으로 내지 못하다, 입에서 맴돌다",麦子们,2018-06-13,https://zh.dict.naver.com/#/userEntry/zhko/df8c6062d7881f15407cacb3328c47c5
74520,(인터넷 용어) 사실 널 사랑해,jhgfdsxcv...(fggh****),2018-06-12,https://zh.dict.naver.com/#/userEntry/zhko/f0c35c151c6bbddaf5f6eac288be01dd
脱团,[유행어] 솔로 탈출하고 연애를 하다,러키(luck****),2017-06-09,https://zh.dict.naver.com/#/userEntry/zhko/cb5aee03f7d84bafec0cf325e406e929
翻墙,(IT) 벽을 넘다.(방화벽을 넘어서 차단된 서비스를 이용한다는 표현 때 씀),무딘(mudi****),2016-03-24,https://zh.dict.naver.com/#/userEntry/zhko/1602fa86e87f35e328ee825424ce3891
施比受有福,베푸는 것이 받는 것보다 유복하다. 낫다.,1t2p(6san****),2018-06-09,https://zh.dict.naver.com/#/userEntry/zhko/218415a8c652372ea49e5237863e2d38
官翻,리퍼,BurningIc...(sheb****),2018-06-08,https://zh.dict.naver.com/#/userEntry/zhko/25be743d95a31846f5536f33ae33d36e
东问西答,동문서답하다.,사이버 한국외국어대학교 중국어학부,2017-02-08,https://zh.dict.naver.com/#/userEntry/zhko/e252f7ba72d6d959558667b7ec3cd671
瞎扯淡,"쓸데없이 지껄이다, 헛소리 하다",麦子们,2018-06-04,https://zh.dict.naver.com/#/userEntry/zhko/29337e5c6321b8c75c3dc2acdfa80554
好心被当做驴肝肺,호의를 악의로 받아들이다.,효지니S(sjin****),2018-06-04,https://zh.dict.naver.com/#/userEntry/zhko/994788b4812bcf9da77314550704e33f
别墨迹,<방언> 꾸물대지 말아라; 느리적거리지 말아라,麦子们,2018-06-04,https://zh.dict.naver.com/#/userEntry/zhko/20a20171782705d064d5858c30b29a3d
喜乐融融,즐겁고 화기애애한 모양,ggoltoung(ggol****),2018-06-03,https://zh.dict.naver.com/#/userEntry/zhko/c672677df5a6c7ac1a350338fdc10ebb
过敏性皮肤,"민김성피부, 알레르기성피부",Presenter(ljeh****),2018-05-26,https://zh.dict.naver.com/#/userEntry/zhko/e0f740639fd6fd6560a8c913a6d11132
三茶两饭一夜宵,"하루에 차를 세번 마시고 밥 두 끼와 야식 한 끼를
먹는다.(그만큼 광동지역에서 차를 중시한다는 뜻)",tmysh88(tmys****),2018-06-02,https://zh.dict.naver.com/#/userEntry/zhko/9b71e8810447c873154bc703df235c61
케미,默契,KJLIN(link****),2018-06-01,https://zh.dict.naver.com/#/userEntry/kozh/d81fbe36350d87f46b0f114be3f469c2
인증샷,认证照:证明做过这件事，见过这个人或者到过这个地方，拍照证明。,woaini(heey****)외 1명,2018-06-01,https://zh.dict.naver.com/#/userEntry/kozh/5175711a7442fff895e6a8b312620d25
填字图,가로세로 낱말퍼즐,고으니(goeu****),2018-06-01,https://zh.dict.naver.com/#/userEntry/zhko/b4826ffe1a7129506503d9382b674e81
