先天优势,선천적으로 우위,haejung12...(haej****)외 1명,2015-06-16,https://zh.dict.naver.com/#/userEntry/zhko/6db00ce00750558b104ad112c3726a61
웃프다,想哭又想笑,황 쳰청(e801****)외 1명,2015-08-28,https://zh.dict.naver.com/#/userEntry/kozh/7ce741e31b277cf9e54aa0b445761722
抢戏,연극이나 촬영현장에서  연기를 못해서  분위기를 망치다,날아라(hski****)외 1명,2017-12-03,https://zh.dict.naver.com/#/userEntry/zhko/f63045bd9da6bb598a33b0c180d79d94
忽悠,1.속이다. 거짓말하다. 뻥치다. 낚다.,Club_Five(wume****)외 4명,2015-10-14,https://zh.dict.naver.com/#/userEntry/zhko/c8f5cb7f00bc62ff21aaf349d7f2e73e
겸어문,兼语词,sredcat(sred****)외 1명,2015-11-22,https://zh.dict.naver.com/#/userEntry/kozh/369b2c2eedf5e08e0239476d9eb2283c
감독원,監察院,여의(imru****)외 2명,2017-05-31,https://zh.dict.naver.com/#/userEntry/kozh/b6c30e353ddcb6a22d32227b62daee21
金特会,[명사] 북미 정상회담을 김정은의 김과 트럼프의 트를 따서 부르는 표현.,KCRA(yoyo****),2018-06-15,https://zh.dict.naver.com/#/userEntry/zhko/c82fe24d167e960e0f7f1d2a83efb067
吃鸡,일등을하다(取得第一) 인터넷 유행어,암흑(kym9****)외 2명,2017-11-16,https://zh.dict.naver.com/#/userEntry/zhko/9031ea826d88640124a1f87a2d79ba71
宜居,[동사] 살기 좋다,KCRA(yoyo****),2018-06-14,https://zh.dict.naver.com/#/userEntry/zhko/ea7c17e0d0e1a6a04f1c11dcd3c7cb71
简单粗暴,쉽고 직접적으로 일을 한다,LI GONGYI...(bigh****),2017-12-07,https://zh.dict.naver.com/#/userEntry/zhko/75211a3992dc921a83ff9e1772f2de42
亚硫酸锌,[화학]아황산아연,ggoltoung(ggol****),2018-05-28,https://zh.dict.naver.com/#/userEntry/zhko/36e029f183291f829241568dc88bd9bd
内保外贷,"[경제] 해외에 있는 중국 자국기업을 위해 중국 자국 은행이 담보를 하고, 해외 은행이 중국 자국기업에게 돈을 빌려주는 일.",KCRA(yoyo****),2018-06-14,https://zh.dict.naver.com/#/userEntry/zhko/0b4d0a89a70548c2563c17a06227ff6c
多相反应,다상 반응(여러 다른 종류들로 이뤄진 반응),ggoltoung(ggol****),2018-06-14,https://zh.dict.naver.com/#/userEntry/zhko/0a959706fdbe4c4c26ca03b1d5a635e3
相邻数,"연속수(숫자) , 일련 수(숫자)",ggoltoung(ggol****),2018-06-14,https://zh.dict.naver.com/#/userEntry/zhko/e672e03705a2c24b4c553f7506a16c3e
声信号,음성 신호,ggoltoung(ggol****),2018-06-14,https://zh.dict.naver.com/#/userEntry/zhko/c688972e3b34feeb0b9242f70c73112b
庆生会,생일 축하 파티,ggoltoung(ggol****),2018-06-14,https://zh.dict.naver.com/#/userEntry/zhko/ad8a822095a214ef0e1951ed53363d4e
天体测量仪,천체 측량기,ggoltoung(ggol****),2018-06-14,https://zh.dict.naver.com/#/userEntry/zhko/09fb34024416bd2cf4d498ac85954195
有色镀金,유색 도금,ggoltoung(ggol****),2018-06-14,https://zh.dict.naver.com/#/userEntry/zhko/cc4c3560414ce87c4d5b76164c79bf51
可整除,(나머지 없이) 나누어 떨어지다,ggoltoung(ggol****),2018-06-14,https://zh.dict.naver.com/#/userEntry/zhko/9acbadfa4464c44fda5a0f6f370584b7
等离子体振荡,플라즈마 진동,ggoltoung(ggol****),2018-06-14,https://zh.dict.naver.com/#/userEntry/zhko/26a09c269ee078285ca0cc79563ead32
